"listingKey","no_of_reviews"
"10585","163"
"14411","70"
"5096","63"
"5490","50"
"6043","46"
"7604","38"
"6047","37"
"8550","36"
"12608","35"
"15206","31"
"10080","31"
"1711","30"
"9013","30"
"10680","29"
"32","29"
"8560","29"
"5073","28"
"10919","28"
"7006","27"
"10586","26"
"6834","26"
"3435","25"
"10520","25"
"6253","24"
"3362","23"
"10228","22"
"2996","22"
"7771","22"
"7664","22"
"9181","22"
"4114","21"
"6348","21"
"14670","21"
"4599","19"
"10917","19"
"1536","19"
"10676","19"
"3740","19"
"8191","18"
"10116","18"
"15883","18"
"2580","18"
"3863","18"
"183","18"
"13779","18"
"6549","17"
"10563","17"
"6041","17"
"6333","17"
"10600","17"
"193","17"
"10164","17"
"3364","17"
"6258","16"
"9947","16"
"5042","16"
"7772","16"
"12516","15"
"7773","15"
"4083","15"
"8245","15"
"9761","14"
"5473","14"
"10847","14"
"11050","14"
"13710","14"
"6561","14"
"5655","13"
"10019","13"
"3260","13"
"217","13"
"4865","13"
"7634","13"
"6683","12"
"7531","12"
"12549","12"
"16471","12"
"8561","12"
"12550","12"
"15043","12"
"14937","12"
"10991","12"
"15170","12"
"5177","12"
"7932","12"
"14048","12"
"10906","12"
"10070","12"
"7881","12"
"6444","12"
"1543","12"
"9342","12"
"4753","12"
"15029","12"
"2420","11"
"9856","11"
"12633","11"
"451","11"
"16762","11"
"8824","11"
"15617","11"
"5263","11"
"1954","11"
"16134","11"
"11467","11"
"7718","11"
"8949","10"
"14929","10"
"1085","10"
"12251","10"
"13802","10"
"13566","10"
"1610","10"
"13910","10"
"1248","10"
"15475","10"
"9746","10"
"6671","10"
"445","10"
"1419","10"
"15692","10"
"3258","10"
"754","10"
"14507","10"
"10100","10"
"17626","10"
"4986","10"
"13023","10"
"7342","10"
"3002","10"
"4694","10"
"10572","10"
"17327","10"
"6045","10"
"7281","9"
"5012","9"
"16840","9"
"16739","9"
"15624","9"
"11149","9"
"6710","9"
"8483","9"
"10214","9"
"17653","9"
"10551","9"
"10714","9"
"10250","9"
"1638","9"
"14579","9"
"504","9"
"17250","9"
"8284","9"
"4261","9"
"1411","9"
"2295","9"
"16983","9"
"13974","9"
"17101","9"
"2129","9"
"8201","9"
"6349","9"
"1403","9"
"13048","9"
"13543","9"
"2790","9"
"16349","9"
"15563","9"
"15744","9"
"13809","9"
"7611","9"
"5104","9"
"465","9"
"6602","9"
"7005","9"
"2693","9"
"6200","9"
"2741","9"
"10223","8"
"17367","8"
"10573","8"
"5482","8"
"937","8"
"464","8"
"12159","8"
"1299","8"
"7954","8"
"11132","8"
"17502","8"
"10001","8"
"7003","8"
"12869","8"
"6830","8"
"10205","8"
"5570","8"
"16650","8"
"1204","8"
"4805","8"
"11848","8"
"275","8"
"5625","8"
"5241","8"
"13346","8"
"7313","8"
"11912","8"
"3104","8"
"16742","8"
"3152","8"
"16745","8"
"860","8"
"16362","8"
"758","8"
"4654","8"
"1690","8"
"16357","8"
"14286","8"
"7635","8"
"5967","8"
"8551","8"
"742","8"
"13039","8"
"15154","8"
"8893","8"
"6031","8"
"17069","8"
"1627","8"
"15944","8"
"133","8"
"17552","8"
"7764","8"
"881","8"
"1559","8"
"574","8"
"8207","8"
"6116","8"
"7769","8"
"16810","8"
"135","8"
"2268","8"
"449","8"
"893","8"
"1200","8"
"11619","8"
"6209","8"
"980","8"
"9330","8"
"1410","8"
"17566","8"
"1409","8"
"14620","8"
"6360","8"
"17341","8"
"15419","8"
"1151","8"
"10749","8"
"1323","8"
"15650","8"
"4193","8"
"5212","8"
"928","8"
"9492","7"
"16728","7"
"16090","7"
"804","7"
"16094","7"
"12949","7"
"531","7"
"16775","7"
"1580","7"
